trace relationship count
askalon-new_ee46_parquet 1:1 520
askalon-new_ee46_parquet 0:N 20
askalon-new_ee46_parquet N:N 20
askalon-new_ee47_parquet N:0 20
askalon-new_ee47_parquet 1:1 520
askalon-new_ee47_parquet 0:N 20
askalon-new_ee47_parquet N:N 20
askalon-new_ee48_parquet N:0 30
askalon-new_ee48_parquet 1:1 2640
askalon-new_ee48_parquet 0:N 30
askalon-new_ee48_parquet N:N 30
askalon-new_ee49_parquet N:0 50
askalon-new_ee49_parquet 1:1 4400
askalon-new_ee49_parquet 0:N 50
askalon-new_ee49_parquet N:N 50
askalon-new_ee4_parquet N:0 20
askalon-new_ee4_parquet 1:1 520
askalon-new_ee4_parquet 0:N 20
askalon-new_ee4_parquet N:N 20
askalon-new_ee50_parquet N:0 50
askalon-new_ee50_parquet 1:1 4400
askalon-new_ee50_parquet 0:N 50
askalon-new_ee50_parquet N:N 50
askalon-new_ee51_parquet N:0 21
askalon-new_ee51_parquet 1:1 1848
askalon-new_ee51_parquet 0:N 21
askalon-new_ee51_parquet N:N 21
askalon-new_ee52_parquet N:0 50
askalon-new_ee52_parquet 1:1 4400
askalon-new_ee52_parquet 0:N 50
askalon-new_ee52_parquet N:N 50
askalon-new_ee53_parquet N:0 50
askalon-new_ee53_parquet 1:1 4400
askalon-new_ee53_parquet 0:N 50
askalon-new_ee53_parquet N:N 50
askalon-new_ee54_parquet N:0 50
askalon-new_ee54_parquet 1:1 4400
askalon-new_ee54_parquet 0:N 50
askalon-new_ee54_parquet N:N 50
askalon-new_ee55_parquet N:0 21
askalon-new_ee55_parquet 1:1 1848
askalon-new_ee55_parquet 0:N 21
askalon-new_ee55_parquet N:N 21
askalon-new_ee56_parquet N:0 49
askalon-new_ee56_parquet 1:1 4312
askalon-new_ee56_parquet 0:N 49
askalon-new_ee56_parquet N:N 49
askalon-new_ee57_parquet N:0 50
askalon-new_ee57_parquet 1:1 4400
askalon-new_ee57_parquet 0:N 50
askalon-new_ee57_parquet N:N 50
askalon-new_ee58_parquet N:0 20
askalon-new_ee58_parquet 1:1 1760
askalon-new_ee58_parquet 0:N 20
askalon-new_ee58_parquet N:N 20
askalon-new_ee59_parquet N:0 20
askalon-new_ee59_parquet N:1 380
askalon-new_ee59_parquet 0:N 60
askalon-new_ee5_parquet N:0 20
askalon-new_ee5_parquet 1:1 520
askalon-new_ee5_parquet 0:N 20
askalon-new_ee5_parquet N:N 20
askalon-new_ee60_parquet N:0 21
askalon-new_ee60_parquet N:1 399
askalon-new_ee60_parquet 0:N 63
askalon-new_ee61_parquet N:0 21
askalon-new_ee61_parquet N:1 399
askalon-new_ee61_parquet 0:N 63
askalon-new_ee62_parquet N:0 23
askalon-new_ee62_parquet N:1 437
askalon-new_ee62_parquet 0:N 69
askalon-new_ee63_parquet N:0 21
askalon-new_ee63_parquet N:1 399
askalon-new_ee63_parquet 0:N 63
askalon-new_ee64_parquet N:0 22
askalon-new_ee64_parquet N:1 418
askalon-new_ee64_parquet 0:N 66
askalon-new_ee65_parquet N:0 22
askalon-new_ee65_parquet N:1 418
askalon-new_ee65_parquet 0:N 66
askalon-new_ee66_parquet N:0 28
askalon-new_ee66_parquet N:1 532
askalon-new_ee66_parquet 0:N 84
askalon-new_ee67_parquet N:0 20
askalon-new_ee67_parquet N:1 380
askalon-new_ee67_parquet 0:N 60
askalon-new_ee68_parquet N:0 20
askalon-new_ee68_parquet N:1 380
askalon-new_ee68_parquet 0:N 60
askalon-new_ee69_parquet N:0 24
askalon-new_ee69_parquet N:1 456
askalon-new_ee69_parquet 0:N 72
askalon-new_ee6_parquet N:0 20
askalon-new_ee6_parquet 1:1 520
askalon-new_ee6_parquet 0:N 20
askalon-new_ee6_parquet N:N 20
askalon-new_ee7_parquet N:0 20
askalon-new_ee7_parquet 1:1 520
askalon-new_ee7_parquet 0:N 20
askalon-new_ee7_parquet N:N 20
askalon-new_ee8_parquet N:0 20
askalon-new_ee8_parquet 1:1 520
askalon-new_ee8_parquet 0:N 20
askalon-new_ee8_parquet N:N 20
askalon-new_ee9_parquet N:0 20
askalon-new_ee9_parquet 1:1 520
askalon-new_ee9_parquet 0:N 20
askalon-new_ee9_parquet N:N 20
chronos_parquet 0:1 3403
chronos_parquet 1:1 3402
chronos_parquet 1:0 3403
icpe_trace-1_parquet N:0 330
icpe_trace-1_parquet 0:N 701
icpe_trace-1_parquet N:1 3528
icpe_trace-1_parquet N:N 330
icpe_trace-1_parquet 1:0 60
icpe_trace-1_parquet 1:1 3374
icpe_trace-1_parquet 1:N 116
icpe_trace-1_parquet 0:1 6191
icpe_trace-2_parquet N:0 337
icpe_trace-2_parquet 0:N 512
icpe_trace-2_parquet N:1 2302
icpe_trace-2_parquet N:N 337
icpe_trace-2_parquet 1:0 56
icpe_trace-2_parquet 1:1 5970
icpe_trace-2_parquet 1:N 164
